question,answer
What is your return policy?,"You can return a product within 30 days of purchase, provided it is unused and in its original packaging."
How can I track my order?,You can track your order using the tracking link sent to your registered email address.
What payment methods do you accept?,"We accept credit cards, debit cards, UPI, net banking, and other supported online payment methods."
How can I contact customer support?,"You can contact our customer support team through email, phone, or the support section of our website."
How long does delivery take?,Standard delivery usually takes 3 to 7 business days depending on your location.
Can I cancel my order?,"Yes, you can cancel your order before it has been shipped."
How do I change my delivery address?,You can request an address change before your order is shipped by contacting customer support.
What should I do if I receive a damaged product?,Please contact customer support with your order details and photographs of the damaged product.
Do you offer refunds?,"Yes, eligible returned products can receive a refund according to our refund policy."
How long does a refund take?,Refunds are generally processed within 5 to 10 business days after the returned product is approved.
Do you provide international shipping?,International shipping availability depends on the destination and product.
How do I create an account?,Click the Sign Up or Create Account option and provide the required information.
How do I reset my password?,Click Forgot Password on the login page and follow the instructions sent to your registered email.
Is my personal information secure?,We use appropriate security measures to protect your personal information.
How can I check my order status?,Log in to your account and open the Orders section to view your current order status.
